"","hour","AQI","PM2.5","PM2.5_24h","PM10","PM10_24h","SO2","SO2_24h","NO2","NO2_24h","O3","O3_24h","O3_8h","O3_8h_24h","CO","CO_24h","date"
"1",0,35,16,16,35,34,7,5,27,16,66,99,79,91,0.5,0.37,"20210101"
"2",1,31,16,17,31,35,5,5,15,13,69,82,69,69,0.4,0.4,"20210101"
"3",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20210101"
"4",3,26,16,17,26,33,5,5,10,13,73,82,71,73,0.43,0.4,"20210101"
"5",4,27,17,17,27,32,5,5,10,13,71,82,72,74,0.4,0.42,"20210101"
"6",7,28,18,17,28,32,5,5,18,13,60,82,69,74,0.4,0.4,"20210101"
"7",8,28,18,17,28,33,5,5,24,13,56,82,68,74,0.42,0.4,"20210101"
"8",9,28,18,17,28,33,5,5,19,14,60,82,66,74,0.42,0.4,"20210101"
"9",10,28,17,17,28,32,5,5,20,14,63,82,65,74,0.4,0.4,"20210101"
"10",11,30,18,18,30,33,5,5,16,15,69,86,65,74,0.42,0.4,"20210101"
"11",12,31,19,18,31,33,5,5,12,15,76,89,65,74,0.4,0.4,"20210101"
"12",13,32,19,18,32,33,5,5,9,15,83,93,67,76,0.42,0.4,"20210101"
"13",15,37,23,18,37,34,6,5,12,15,90,94,73,79,0.44,0.4,"20210101"
"14",16,40,24,18,40,34,6,5,16,15,87,94,77,81,0.46,0.4,"20210101"
"15",17,44,27,19,44,34,5,5,22,15,89,96,80,83,0.47,0.4,"20210101"
"16",18,51,31,19,51,34,6,5,30,16,79,96,82,85,0.48,0.4,"20210101"
"17",19,51,34,20,52,35,6,5,32,17,68,96,83,85,0.54,0.4,"20210101"
"18",20,54,37,21,57,35,7,6,28,17,66,96,81,86,0.54,0.42,"20210101"
"19",21,58,41,22,60,36,9,6,33,18,57,96,78,86,0.58,0.42,"20210101"
"20",22,53,37,23,54,36,7,6,31,18,53,96,74,86,0.54,0.42,"20210101"
"21",23,54,38,23,52,37,7,6,35,19,47,96,69,86,0.6,0.46,"20210101"
"22",0,54,38,24,49,37,8,6,37,20,42,96,63,85,0.6,0.48,"20210102"
