"","hour","AQI","PM2.5","PM2.5_24h","PM10","PM10_24h","SO2","SO2_24h","NO2","NO2_24h","O3","O3_24h","O3_8h","O3_8h_24h","CO","CO_24h","date"
"1",0,50,35,39,43,46,7,5,19,18,61,81,66,73,0.63,0.73,"20200101"
"2",1,47,33,40,39,47,6,5,17,19,63,81,63,63,0.6,0.73,"20200101"
"3",2,49,34,40,37,47,6,5,16,19,61,81,62,64,0.6,0.7,"20200101"
"4",3,49,34,40,34,47,6,5,14,19,61,81,62,64,0.57,0.7,"20200101"
"5",4,34,24,39,25,47,3,5,11,19,68,81,63,65,0.57,0.7,"20200101"
"6",5,27,19,38,22,46,3,5,9,18,71,81,65,66,0.53,0.7,"20200101"
"7",6,31,22,38,20,45,3,5,11,18,64,81,64,66,0.57,0.7,"20200101"
"8",7,27,19,36,19,43,3,5,16,19,59,81,64,66,0.6,0.7,"20200101"
"9",8,24,17,34,19,42,3,5,19,19,60,81,63,67,0.57,0.7,"20200101"
"10",9,21,15,32,21,40,4,5,17,18,68,81,64,67,0.5,0.67,"20200101"
"11",10,22,13,30,22,38,3,5,16,18,71,81,65,68,0.53,0.63,"20200101"
"12",11,23,10,29,17,36,3,4,13,18,74,81,67,69,0.47,0.63,"20200101"
"13",12,26,9,27,14,34,3,4,9,18,82,82,69,70,0.43,0.63,"20200101"
"14",13,27,9,26,10,32,3,4,7,17,86,86,70,70,0.43,0.57,"20200101"
"15",14,27,11,24,13,31,3,4,8,17,87,87,73,73,0.43,0.57,"20200101"
"16",15,28,11,23,14,30,4,4,8,16,89,89,77,77,0.4,0.57,"20200101"
"17",16,27,12,22,18,29,4,4,11,16,86,90,81,81,0.43,0.57,"20200101"
"18",17,26,14,21,23,27,4,4,15,16,84,90,82,82,0.43,0.57,"20200101"
"19",18,27,16,21,27,27,4,4,23,16,79,90,84,84,0.47,0.57,"20200101"
"20",19,36,19,21,36,27,4,4,29,16,71,90,83,84,0.5,0.57,"20200101"
"21",20,37,20,20,37,27,4,4,27,16,69,90,81,84,0.5,0.53,"20200101"
"22",21,36,19,20,36,27,5,4,30,16,63,90,78,84,0.47,0.53,"20200101"
